,Year,Ceftazidim,Ciprofloxacin,Gentamicin
4007,2006,30.0,32.0,23.0
4008,2006,35.0,35.0,23.0
4009,2006,28.0,33.0,24.0
4010,2006,32.0,34.0,23.0
4011,2006,32.0,34.0,23.0
4012,2006,8.0,6.0,8.0
4013,2006,30.0,30.0,21.0
4014,2006,29.0,6.0,25.0
4015,2006,34.0,34.0,23.0
4016,2006,30.0,34.0,22.0
4017,2006,31.0,33.0,22.0
4018,2006,32.0,32.0,24.0
4019,2006,30.0,36.0,24.0
4020,2006,33.0,33.0,23.0
4021,2006,31.0,33.0,22.0
4022,2006,30.0,32.0,23.0
4023,2006,32.0,36.0,26.0
4024,2006,34.0,34.0,23.0
4025,2006,32.0,32.0,23.0
4026,2006,30.0,32.0,23.0
4027,2006,23.0,32.0,24.0
4028,2006,33.0,34.0,22.0
4029,2006,36.0,36.0,24.0
4030,2006,32.0,34.0,23.0
4031,2006,28.0,6.0,22.0
4032,2006,34.0,34.0,23.0
4033,2006,30.0,33.0,22.0
4034,2006,34.0,37.0,23.0
4035,2006,32.0,39.0,24.0
4036,2006,32.0,36.0,24.0
4037,2006,36.0,32.0,24.0
4038,2006,33.0,34.0,23.0
4039,2006,32.0,34.0,23.0
4040,2006,33.0,34.0,22.0
4041,2006,30.0,33.0,22.0
4042,2006,32.0,32.0,23.0
4043,2006,32.0,33.0,24.0
4044,2006,32.0,36.0,22.0
4055,2006,30.0,32.0,22.0
4056,2006,32.0,32.0,23.0
4057,2006,36.0,34.0,26.0
4058,2006,30.0,36.0,24.0
4059,2006,32.0,32.0,24.0
4060,2006,30.0,30.0,24.0
4061,2006,34.0,32.0,24.0
4062,2006,32.0,30.0,24.0
4063,2006,34.0,34.0,24.0
4064,2006,32.0,34.0,24.0
4065,2006,30.0,32.0,24.0
4066,2006,32.0,32.0,24.0
4067,2006,34.0,22.0,24.0
4068,2006,32.0,36.0,26.0
4069,2006,32.0,34.0,24.0
4070,2006,32.0,34.0,22.0
4071,2006,30.0,32.0,24.0
4072,2006,32.0,32.0,22.0
4073,2006,32.0,32.0,26.0
4074,2006,32.0,34.0,24.0
4075,2006,34.0,32.0,24.0
4076,2006,30.0,32.0,24.0
4077,2006,32.0,32.0,22.0
4078,2006,34.0,36.0,24.0
4079,2006,32.0,32.0,22.0
4080,2006,32.0,32.0,24.0
4081,2006,30.0,25.0,24.0
4082,2006,34.0,32.0,26.0
4083,2006,34.0,34.0,24.0
4084,2006,32.0,34.0,26.0
4085,2006,32.0,34.0,24.0
4086,2006,30.0,36.0,20.0
4087,2006,32.0,34.0,26.0
4088,2006,32.0,6.0,25.0
4089,2006,36.0,36.0,24.0
4090,2006,30.0,30.0,24.0
4091,2006,32.0,32.0,22.0
4092,2006,30.0,32.0,24.0
4093,2006,30.0,32.0,24.0
4094,2006,32.0,40.0,26.0
4095,2006,31.0,40.0,27.0
4096,2006,30.0,34.0,26.0
4097,2006,30.0,40.0,26.0
4098,2006,32.0,38.0,26.0
4099,2006,30.0,38.0,34.0
4100,2006,30.0,36.0,26.0
4101,2006,32.0,38.0,26.0
4102,2006,32.0,38.0,26.0
4103,2006,30.0,36.0,26.0
4104,2006,31.0,38.0,26.0
4105,2006,32.0,36.0,28.0
4106,2006,32.0,38.0,28.0
4107,2006,28.0,37.0,27.0
4108,2006,30.0,38.0,30.0
4109,2006,29.0,36.0,29.0
4110,2006,34.0,40.0,30.0
4111,2006,32.0,38.0,26.0
4112,2006,26.0,35.0,28.0
4113,2006,28.0,33.0,24.0
4114,2006,30.0,36.0,27.0
4115,2006,32.0,35.0,26.0
4116,2006,30.0,38.0,28.0
4117,2006,34.0,6.0,24.0
4118,2006,26.0,6.0,22.0
4119,2006,32.0,34.0,22.0
4120,2006,32.0,40.0,27.0
4121,2006,32.0,36.0,27.0
4122,2006,32.0,38.0,26.0
4123,2006,36.0,38.0,27.0
4124,2006,29.0,25.0,36.0
4125,2006,30.0,37.0,27.0
4126,2006,29.0,34.0,25.0
4127,2006,30.0,38.0,26.0
4128,2006,30.0,36.0,26.0
4129,2006,28.0,34.0,25.0
4130,2006,30.0,6.0,26.0
4131,2006,30.0,36.0,27.0
4132,2006,30.0,36.0,28.0
4133,2006,29.0,36.0,27.0
4134,2006,30.0,32.0,24.0
4135,2006,30.0,36.0,24.0
4136,2006,30.0,36.0,25.0
4137,2006,32.0,35.0,27.0
4138,2006,35.0,38.0,26.0
4139,2006,28.0,34.0,28.0
4140,2006,38.0,42.0,28.0
4141,2006,27.0,34.0,25.0
4155,2006,31.0,38.0,26.0
4156,2006,30.0,38.0,26.0
4157,2006,29.0,39.0,26.0
4158,2006,32.0,41.0,28.0
4159,2006,31.0,11.0,26.0
4160,2006,32.0,39.0,26.0
4161,2006,32.0,39.0,27.0
4162,2006,31.0,30.0,26.0
4163,2006,33.0,39.0,27.0
4164,2006,32.0,39.0,26.0
4165,2006,33.0,39.0,25.0
4166,2006,33.0,38.0,25.0
4167,2006,34.0,39.0,26.0
4168,2006,35.0,41.0,29.0
4169,2006,32.0,38.0,28.0
4170,2006,32.0,38.0,26.0
4171,2006,31.0,38.0,26.0
4172,2006,32.0,39.0,27.0
4173,2006,33.0,39.0,26.0
4174,2006,32.0,36.0,26.0
4175,2006,35.0,39.0,26.0
4176,2006,31.0,37.0,27.0
4177,2006,34.0,38.0,28.0
4178,2006,32.0,37.0,26.0
4179,2006,28.0,37.0,27.0
4180,2006,28.0,35.0,26.0
4181,2006,34.0,42.0,29.0
4182,2006,31.0,37.0,26.0
4183,2006,32.0,38.0,27.0
4184,2006,31.0,37.0,26.0
4185,2006,32.0,37.0,25.0
4186,2006,34.0,39.0,27.0
4187,2006,30.0,37.0,29.0
4188,2006,32.0,36.0,24.0
4189,2006,32.0,38.0,26.0
4190,2006,30.0,35.0,24.0
4191,2006,32.0,38.0,27.0
4192,2006,30.0,37.0,26.0
4193,2006,30.0,35.0,26.0
4194,2006,31.0,36.0,26.0
4195,2006,32.0,37.0,27.0
4196,2006,31.0,38.0,26.0
4197,2006,33.0,41.0,26.0
4198,2006,31.0,34.0,22.0
4199,2006,31.0,34.0,22.0
4200,2006,32.0,34.0,23.0
4201,2006,29.0,33.0,23.0
4202,2006,32.0,9.0,23.0
4203,2006,32.0,32.0,24.0
4204,2006,30.0,9.0,22.0
4205,2006,30.0,33.0,21.0
4206,2006,32.0,34.0,23.0
4207,2006,33.0,32.0,23.0
4208,2006,27.0,33.0,21.0
4209,2006,27.0,6.0,23.0
4210,2006,34.0,33.0,25.0
4211,2006,30.0,28.0,23.0
4212,2006,29.0,33.0,21.0
4213,2006,32.0,32.0,22.0
4214,2006,30.0,29.0,10.0
4215,2006,29.0,32.0,22.0
4216,2006,30.0,34.0,20.0
4217,2006,29.0,32.0,18.0
4218,2006,32.0,32.0,23.0
4219,2006,30.0,32.0,21.0
4220,2006,30.0,34.0,22.0
4221,2006,30.0,34.0,22.0
4222,2006,30.0,34.0,20.0
4223,2006,31.0,33.0,23.0
4224,2006,31.0,34.0,24.0
4225,2006,15.0,31.0,7.0
4226,2006,33.0,34.0,23.0
4227,2006,24.0,26.0,20.0
4228,2006,27.0,32.0,22.0
4229,2006,32.0,36.0,23.0
4230,2006,31.0,32.0,23.0
4231,2006,30.0,32.0,22.0
4232,2006,31.0,31.0,23.0
4233,2006,29.0,30.0,22.0
4234,2006,32.0,33.0,24.0
4235,2006,30.0,32.0,23.0
4236,2006,28.0,6.0,23.0
4237,2006,27.0,33.0,23.0
4238,2006,30.0,30.0,23.0
4239,2006,29.0,29.0,24.0
4240,2006,31.0,32.0,22.0
4241,2006,30.0,31.0,24.0
4242,2006,27.0,18.0,23.0
4243,2006,26.0,25.0,20.0
4244,2006,30.0,33.0,22.0
4245,2006,30.0,34.0,25.0
4246,2006,34.0,32.0,24.0
4247,2006,28.0,31.0,22.0
