,Ceftazidim,Ciprofloxacin,Gentamicin
5791,34.0,41.0,29.0
5792,34.0,42.0,29.0
5793,33.0,42.0,30.0
5794,33.0,40.0,28.0
5795,33.0,40.0,29.0
5796,34.0,39.0,28.0
5797,36.0,42.0,32.0
5798,32.0,38.0,28.0
5799,32.0,38.0,27.0
5800,33.0,39.0,29.0
5801,32.0,38.0,27.0
5802,33.0,45.0,28.0
5803,34.0,33.0,27.0
5804,29.0,29.0,28.0
5805,33.0,38.0,27.0
5806,30.0,37.0,28.0
5807,32.0,37.0,27.0
5808,30.0,35.0,26.0
5809,36.0,42.0,27.0
5810,31.0,32.0,28.0
5811,35.0,29.0,27.0
5812,32.0,38.0,29.0
5813,31.0,38.0,28.0
5814,33.0,38.0,18.0
5815,33.0,38.0,28.0
5816,30.0,37.0,27.0
5817,30.0,38.0,29.0
5818,33.0,37.0,29.0
5819,33.0,38.0,30.0
5820,33.0,35.0,27.0
5821,31.0,35.0,26.0
5822,33.0,40.0,33.0
5823,31.0,39.0,28.0
5824,29.0,36.0,28.0
5825,31.0,37.0,28.0
5826,32.0,37.0,27.0
5827,30.0,35.0,29.0
5828,32.0,37.0,29.0
5829,34.0,40.0,28.0
5830,30.0,37.0,26.0
5831,33.0,36.0,28.0
5832,33.0,37.0,27.0
5833,32.0,34.0,29.0
5834,33.0,37.0,28.0
5835,31.0,38.0,28.0
5836,31.0,35.0,27.0
5837,32.0,36.0,27.0
5838,30.0,37.0,27.0
5839,31.0,35.0,28.0
5840,32.0,37.0,27.0
5841,30.0,35.0,29.0
5842,33.0,37.0,27.0
5843,33.0,30.0,29.0
5844,31.0,38.0,28.0
5845,33.0,34.0,27.0
5846,33.0,39.0,30.0
5847,32.0,38.0,29.0
5848,33.0,40.0,29.0
5849,33.0,39.0,28.0
5850,33.0,40.0,29.0
5851,38.0,45.0,33.0
5852,35.0,42.0,30.0
5853,37.0,39.0,30.0
5854,35.0,41.0,29.0
5855,38.0,42.0,30.0
5856,37.0,42.0,27.0
5857,37.0,42.0,27.0
5858,35.0,44.0,29.0
5859,29.0,39.0,30.0
5860,33.0,39.0,30.0
5861,32.0,40.0,30.0
5862,34.0,41.0,30.0
5863,34.0,41.0,30.0
5864,33.0,40.0,30.0
5865,33.0,39.0,30.0
5866,33.0,39.0,30.0
5867,35.0,40.0,29.0
5868,34.0,40.0,29.0
5869,33.0,38.0,30.0
5870,33.0,39.0,29.0
5871,36.0,40.0,30.0
5872,36.0,42.0,30.0
5873,38.0,41.0,31.0
5874,33.0,39.0,29.0
5875,35.0,41.0,30.0
5876,34.0,44.0,30.0
5877,35.0,39.0,29.0
5878,37.0,43.0,30.0
5879,35.0,40.0,29.0
5880,35.0,41.0,29.0
5881,33.0,40.0,29.0
5882,30.0,40.0,32.0
5883,35.0,43.0,30.0
5884,34.0,41.0,29.0
5885,34.0,40.0,30.0
5886,36.0,41.0,31.0
5887,36.0,42.0,29.0
5888,33.0,42.0,29.0
5889,34.0,41.0,29.0
5890,33.0,40.0,30.0
5891,33.0,40.0,29.0
5892,35.0,41.0,29.0
5893,36.0,42.0,31.0
5894,35.0,42.0,30.0
5895,38.0,44.0,29.0
5896,34.0,30.0,30.0
5897,32.0,40.0,29.0
5898,31.0,39.0,30.0
5899,33.0,39.0,30.0
5900,36.0,40.0,29.0
5901,32.0,36.0,28.0
5902,34.0,44.0,31.0
5903,34.0,37.0,29.0
5904,33.0,39.0,27.0
5905,30.0,39.0,31.0
5906,34.0,40.0,29.0
5907,35.0,40.0,32.0
5908,37.0,40.0,32.0
5909,31.0,38.0,30.0
5910,33.0,36.0,28.0
5911,13.0,38.0,29.0
5912,32.0,36.0,30.0
