,Ceftazidim,Ciprofloxacin,Gentamicin
11334,32.0,36.0,26.0
11335,32.0,34.0,26.0
11336,33.0,36.0,24.0
11337,35.0,37.0,24.0
11338,32.0,37.0,24.0
11339,34.0,36.0,24.0
11340,32.0,7.0,24.0
11341,34.0,35.0,25.0
11342,33.0,37.0,25.0
11343,32.0,33.0,24.0
11344,32.0,34.0,24.0
11345,32.0,7.0,24.0
11346,34.0,37.0,23.0
11347,33.0,36.0,22.0
11348,31.0,38.0,24.0
11349,29.0,33.0,22.0
11350,32.0,34.0,26.0
11351,28.0,33.0,25.0
11352,31.0,34.0,23.0
11353,32.0,6.0,6.0
11354,32.0,26.0,24.0
11355,32.0,26.0,24.0
11356,32.0,34.0,24.0
11357,32.0,36.0,22.0
11358,34.0,34.0,24.0
11359,30.0,33.0,22.0
11360,32.0,30.0,24.0
11361,32.0,30.0,24.0
11362,34.0,30.0,24.0
11363,34.0,30.0,24.0
11364,30.0,34.0,24.0
11365,30.0,34.0,24.0
11366,32.0,34.0,24.0
11367,32.0,34.0,24.0
11368,32.0,32.0,22.0
11369,33.0,36.0,24.0
11370,32.0,6.0,23.0
11371,32.0,36.0,24.0
11372,32.0,34.0,24.0
11373,32.0,32.0,6.0
11374,30.0,32.0,22.0
11375,34.0,37.0,24.0
11376,36.0,35.0,27.0
11377,32.0,34.0,25.0
11378,20.0,32.0,24.0
11379,32.0,35.0,23.0
11380,32.0,35.0,23.0
11381,32.0,32.0,24.0
11382,33.0,24.0,25.0
11383,37.0,34.0,25.0
11384,28.0,32.0,25.0
11385,31.0,34.0,25.0
11386,33.0,25.0,31.0
11387,36.0,32.0,25.0
11388,35.0,38.0,24.0
11389,36.0,40.0,25.0
11390,32.0,44.0,27.0
11391,35.0,35.0,24.0
11392,34.0,39.0,25.0
11393,36.0,40.0,26.0
11394,38.0,42.0,30.0
11395,36.0,34.0,25.0
11396,35.0,38.0,22.0
11397,32.0,36.0,23.0
11398,33.0,33.0,25.0
11399,35.0,37.0,24.0
11400,34.0,35.0,26.0
11401,31.0,25.0,23.0
11402,34.0,36.0,24.0
11403,34.0,36.0,24.0
11404,35.0,38.0,24.0
11405,33.0,41.0,25.0
11406,41.0,45.0,26.0
11407,33.0,39.0,23.0
11408,35.0,39.0,25.0
11409,32.0,34.0,24.0
11410,32.0,34.0,24.0
11411,32.0,38.0,28.0
11412,32.0,33.0,28.0
11413,31.0,32.0,24.0
11414,31.0,32.0,24.0
11415,32.0,31.0,24.0
11416,32.0,38.0,18.0
11417,34.0,35.0,24.0
11418,32.0,32.0,23.0
11419,30.0,28.0,22.0
11420,30.0,33.0,22.0
11421,32.0,37.0,24.0
11422,31.0,32.0,24.0
11423,36.0,36.0,22.0
11424,33.0,34.0,24.0
11425,34.0,30.0,25.0
11426,31.0,32.0,24.0
11427,31.0,39.0,24.0
11428,29.0,32.0,24.0
11429,30.0,33.0,23.0
11430,30.0,33.0,23.0
11431,30.0,38.0,24.0
11432,30.0,33.0,22.0
11433,30.0,33.0,22.0
11434,32.0,35.0,22.0
11435,32.0,35.0,22.0
11436,34.0,34.0,24.0
11437,36.0,36.0,23.0
11438,34.0,34.0,23.0
11439,33.0,34.0,23.0
11440,34.0,37.0,23.0
11441,35.0,6.0,25.0
11442,32.0,36.0,23.0
11443,34.0,10.0,23.0
11444,29.0,34.0,23.0
11445,33.0,38.0,23.0
11446,34.0,29.0,24.0
11447,30.0,30.0,24.0
11448,32.0,27.0,22.0
11449,34.0,32.0,24.0
11450,33.0,38.0,22.0
11451,32.0,35.0,24.0
11452,33.0,26.0,23.0
11453,33.0,35.0,23.0
11454,34.0,6.0,20.0
11455,32.0,26.0,22.0
11456,32.0,35.0,24.0
11457,32.0,38.0,24.0
11458,32.0,33.0,24.0
11459,33.0,21.0,23.0
11460,31.0,35.0,22.0
11461,31.0,32.0,23.0
11462,32.0,6.0,23.0
11463,32.0,33.0,24.0
11464,33.0,35.0,24.0
11465,33.0,33.0,24.0
11466,33.0,34.0,25.0
11467,32.0,32.0,23.0
11468,32.0,31.0,23.0
11469,31.0,33.0,24.0
11470,31.0,34.0,24.0
11471,32.0,34.0,24.0
11472,32.0,36.0,25.0
11473,34.0,38.0,23.0
11474,33.0,37.0,23.0
11475,31.0,35.0,25.0
11476,31.0,32.0,23.0
11477,34.0,36.0,23.0
11478,33.0,34.0,26.0
11479,36.0,37.0,23.0
11480,18.0,6.0,8.0
11481,31.0,32.0,23.0
11482,31.0,6.0,24.0
11483,30.0,23.0,24.0
11484,32.0,32.0,22.0
11485,31.0,7.0,8.0
11486,27.0,32.0,20.0
11487,31.0,37.0,27.0
11488,30.0,39.0,28.0
11489,30.0,37.0,28.0
11490,31.0,38.0,30.0
11491,32.0,37.0,29.0
11492,30.0,36.0,29.0
11493,29.0,36.0,27.0
11494,30.0,36.0,26.0
11495,29.0,33.0,27.0
11496,31.0,38.0,28.0
11497,28.0,32.0,27.0
11498,29.0,34.0,27.0
11499,34.0,33.0,27.0
11500,30.0,35.0,27.0
11501,26.0,34.0,27.0
11502,31.0,36.0,26.0
11503,27.0,34.0,26.0
11504,28.0,34.0,28.0
11505,27.0,35.0,29.0
11506,32.0,37.0,26.0
11507,30.0,34.0,27.0
11508,27.0,35.0,28.0
11509,30.0,40.0,28.0
11510,30.0,35.0,28.0
11511,31.0,36.0,27.0
11512,31.0,28.0,27.0
11513,30.0,37.0,28.0
11514,32.0,34.0,27.0
11515,30.0,40.0,27.0
11516,28.0,35.0,27.0
11517,31.0,38.0,28.0
11518,30.0,37.0,28.0
11519,28.0,40.0,28.0
11520,30.0,34.0,28.0
11521,29.0,36.0,27.0
11522,31.0,27.0,28.0
11523,32.0,37.0,28.0
11524,31.0,37.0,28.0
11525,32.0,38.0,25.0
11526,31.0,35.0,28.0
11527,30.0,36.0,26.0
11528,30.0,38.0,28.0
11529,30.0,36.0,27.0
11530,29.0,35.0,26.0
11531,29.0,27.0,14.0
11532,32.0,37.0,27.0
11533,26.0,35.0,27.0
11534,30.0,34.0,27.0
11535,32.0,11.0,35.0
11536,29.0,35.0,28.0
11537,29.0,36.0,25.0
11538,28.0,37.0,29.0
11539,30.0,37.0,27.0
11540,32.0,37.0,29.0
11541,31.0,37.0,25.0
11542,30.0,36.0,28.0
11543,31.0,37.0,28.0
11544,29.0,37.0,28.0
11545,33.0,31.0,28.0
11546,28.0,37.0,29.0
11547,31.0,37.0,28.0
11548,32.0,37.0,29.0
11549,35.0,37.0,30.0
11550,29.0,38.0,26.0
11551,29.0,38.0,30.0
11552,28.0,6.0,27.0
11553,28.0,36.0,29.0
11554,29.0,35.0,30.0
11555,30.0,36.0,24.0
11556,32.0,37.0,29.0
11557,30.0,35.0,28.0
11558,31.0,40.0,30.0
11559,31.0,39.0,29.0
11560,30.0,39.0,31.0
11561,30.0,36.0,27.0
11562,30.0,38.0,29.0
11563,31.0,36.0,28.0
11564,32.0,37.0,30.0
11565,29.0,35.0,28.0
11566,31.0,23.0,27.0
11567,31.0,37.0,29.0
11568,30.0,33.0,29.0
11569,30.0,36.0,26.0
11570,30.0,25.0,14.0
11571,34.0,41.0,29.0
11572,28.0,35.0,27.0
11573,30.0,36.0,27.0
11574,31.0,36.0,27.0
11575,26.0,31.0,28.0
11576,31.0,37.0,29.0
11577,28.0,35.0,25.0
11578,31.0,36.0,26.0
11579,28.0,40.0,30.0
11580,30.0,35.0,27.0
11581,31.0,38.0,26.0
11582,32.0,36.0,28.0
11583,30.0,35.0,29.0
11584,33.0,38.0,27.0
11585,30.0,36.0,29.0
11586,31.0,38.0,30.0
11587,29.0,40.0,28.0
11588,31.0,38.0,29.0
11589,31.0,35.0,28.0
11590,29.0,37.0,27.0
11591,34.0,40.0,30.0
11592,35.0,37.0,29.0
11593,30.0,39.0,28.0
11594,34.0,41.0,29.0
11595,33.0,40.0,30.0
11596,32.0,10.0,27.0
11597,35.0,42.0,27.0
11598,37.0,42.0,31.0
11599,30.0,38.0,28.0
11600,30.0,34.0,29.0
11601,32.0,40.0,27.0
11602,34.0,40.0,27.0
11603,31.0,39.0,28.0
11604,34.0,36.0,28.0
11605,33.0,41.0,32.0
11606,31.0,38.0,26.0
11607,30.0,38.0,25.0
11608,33.0,39.0,26.0
11609,32.0,38.0,28.0
11610,32.0,37.0,27.0
11611,30.0,38.0,28.0
11612,26.0,33.0,27.0
11613,32.0,35.0,26.0
11614,31.0,25.0,14.0
11615,29.0,35.0,27.0
11616,30.0,15.0,28.0
11617,29.0,36.0,28.0
11618,28.0,34.0,26.0
11619,30.0,36.0,26.0
11620,29.0,35.0,27.0
11621,30.0,35.0,26.0
11622,29.0,34.0,28.0
11623,34.0,40.0,29.0
11624,33.0,40.0,27.0
11625,33.0,30.0,28.0
11626,33.0,40.0,28.0
11627,34.0,40.0,29.0
11628,32.0,38.0,28.0
11629,33.0,40.0,28.0
11630,33.0,40.0,27.0
11631,33.0,41.0,27.0
11632,32.0,40.0,28.0
11633,35.0,32.0,29.0
11634,35.0,39.0,32.0
11635,34.0,39.0,28.0
11636,32.0,40.0,30.0
11637,34.0,41.0,28.0
11638,32.0,38.0,30.0
11639,37.0,41.0,28.0
11640,32.0,40.0,28.0
11641,32.0,40.0,30.0
11642,32.0,39.0,29.0
11643,34.0,6.0,13.0
11644,32.0,6.0,6.0
11645,32.0,40.0,29.0
11646,35.0,39.0,29.0
11647,35.0,39.0,28.0
11648,34.0,40.0,30.0
11649,35.0,39.0,27.0
11650,32.0,39.0,28.0
11651,32.0,39.0,30.0
11652,34.0,42.0,30.0
11653,33.0,41.0,28.0
11654,32.0,40.0,28.0
11655,32.0,39.0,27.0
11656,32.0,39.0,28.0
11657,33.0,42.0,29.0
11658,36.0,41.0,28.0
11659,32.0,39.0,29.0
11660,35.0,42.0,29.0
11661,30.0,40.0,31.0
11662,33.0,41.0,29.0
11663,33.0,38.0,33.0
11664,34.0,38.0,27.0
11665,34.0,41.0,28.0
11666,33.0,38.0,28.0
11667,34.0,41.0,30.0
11668,34.0,38.0,29.0
11669,33.0,40.0,28.0
11670,36.0,36.0,25.0
11671,36.0,38.0,25.0
11672,18.0,6.0,8.0
11673,35.0,36.0,25.0
11674,32.0,31.0,26.0
11675,30.0,38.0,27.0
11676,31.0,36.0,26.0
11677,30.0,36.0,26.0
11678,33.0,40.0,26.0
11679,30.0,36.0,25.0
11680,32.0,38.0,26.0
11681,36.0,42.0,28.0
11682,30.0,27.0,26.0
11683,30.0,36.0,25.0
11684,30.0,35.0,26.0
11685,29.0,35.0,25.0
11686,31.0,36.0,27.0
11687,30.0,36.0,27.0
11688,30.0,38.0,26.0
11689,28.0,36.0,26.0
11690,33.0,38.0,26.0
11691,24.0,36.0,27.0
11692,31.0,38.0,26.0
11693,30.0,38.0,27.0
11694,29.0,6.0,27.0
11695,30.0,34.0,23.0
11696,29.0,35.0,26.0
11697,31.0,36.0,25.0
11698,32.0,30.0,28.0
11699,30.0,35.0,26.0
11700,34.0,38.0,26.0
11701,32.0,37.0,28.0
11702,30.0,36.0,27.0
11703,32.0,28.0,26.0
11704,30.0,37.0,25.0
11705,34.0,40.0,29.0
11706,30.0,36.0,23.0
11707,31.0,36.0,26.0
11708,32.0,38.0,27.0
11709,30.0,26.0,26.0
11710,32.0,38.0,27.0
11711,30.0,35.0,25.0
11712,30.0,36.0,25.0
11713,31.0,36.0,24.0
11714,30.0,38.0,27.0
11715,30.0,38.0,26.0
11716,32.0,38.0,26.0
11717,32.0,40.0,27.0
11718,31.0,39.0,27.0
11719,32.0,38.0,26.0
11720,29.0,41.0,25.0
11721,33.0,38.0,27.0
11722,31.0,35.0,26.0
11723,32.0,38.0,25.0
11724,32.0,40.0,28.0
11725,30.0,40.0,27.0
11726,32.0,40.0,27.0
11727,30.0,38.0,27.0
11728,27.0,37.0,26.0
11729,31.0,38.0,25.0
11730,32.0,38.0,26.0
11731,25.0,35.0,25.0
11732,31.0,35.0,26.0
11733,31.0,6.0,16.0
11734,30.0,34.0,25.0
11735,29.0,38.0,28.0
11736,31.0,36.0,25.0
11737,32.0,26.0,20.0
11738,31.0,38.0,26.0
11739,30.0,29.0,28.0
11740,29.0,36.0,26.0
11741,33.0,38.0,27.0
11742,31.0,38.0,25.0
11743,32.0,38.0,27.0
11744,30.0,37.0,27.0
11745,31.0,38.0,27.0
11746,32.0,38.0,27.0
11747,30.0,37.0,27.0
11748,28.0,36.0,26.0
11749,31.0,39.0,26.0
11750,30.0,36.0,27.0
11751,30.0,39.0,28.0
11752,30.0,38.0,26.0
11753,32.0,37.0,27.0
11754,32.0,36.0,27.0
11755,32.0,38.0,26.0
11756,32.0,38.0,27.0
11757,32.0,37.0,26.0
11758,30.0,37.0,27.0
11759,31.0,38.0,28.0
11760,32.0,38.0,27.0
11761,30.0,38.0,28.0
11762,31.0,37.0,27.0
11763,30.0,36.0,27.0
11764,32.0,38.0,28.0
11765,32.0,30.0,28.0
11766,28.0,38.0,28.0
11767,32.0,40.0,27.0
11768,32.0,39.0,27.0
11769,32.0,39.0,27.0
11770,30.0,38.0,28.0
11771,34.0,38.0,27.0
11772,30.0,38.0,26.0
11773,32.0,25.0,15.0
11774,28.0,30.0,20.0
11775,26.0,37.0,26.0
11776,30.0,6.0,26.0
11777,29.0,34.0,28.0
11778,42.0,28.0,29.0
11779,32.0,38.0,27.0
11780,29.0,33.0,21.0
11781,27.0,35.0,27.0
11782,30.0,27.0,26.0
11783,29.0,34.0,27.0
11784,30.0,37.0,26.0
11785,31.0,38.0,27.0
11786,28.0,34.0,27.0
11787,29.0,36.0,26.0
11788,28.0,37.0,28.0
11789,29.0,32.0,27.0
11790,30.0,38.0,28.0
11791,30.0,36.0,27.0
11792,30.0,34.0,26.0
11793,30.0,36.0,28.0
11794,28.0,36.0,27.0
11795,30.0,34.0,26.0
11796,27.0,36.0,26.0
11797,29.0,37.0,30.0
11798,29.0,36.0,28.0
11799,30.0,35.0,26.0
11800,30.0,35.0,29.0
11801,30.0,36.0,28.0
11802,30.0,36.0,27.0
11803,28.0,36.0,26.0
11804,26.0,26.0,27.0
11805,28.0,37.0,27.0
11806,27.0,38.0,28.0
11807,27.0,37.0,27.0
11808,28.0,37.0,27.0
11809,30.0,38.0,27.0
11810,29.0,35.0,27.0
11811,34.0,40.0,30.0
11812,30.0,37.0,27.0
11813,29.0,37.0,29.0
11814,30.0,34.0,28.0
11815,28.0,36.0,27.0
11816,30.0,36.0,26.0
11817,28.0,35.0,27.0
11818,33.0,38.0,28.0
11819,29.0,35.0,27.0
11820,30.0,38.0,26.0
11821,34.0,32.0,30.0
11822,32.0,38.0,28.0
11823,32.0,37.0,30.0
11824,34.0,39.0,29.0
11825,30.0,39.0,30.0
11826,33.0,38.0,29.0
11827,32.0,36.0,27.0
11828,32.0,40.0,29.0
11829,33.0,38.0,27.0
11830,30.0,40.0,28.0
11831,35.0,40.0,29.0
11832,36.0,40.0,28.0
11833,33.0,30.0,29.0
11834,33.0,40.0,28.0
11835,34.0,39.0,30.0
11836,32.0,38.0,29.0
11837,33.0,38.0,26.0
11838,32.0,39.0,31.0
11839,34.0,38.0,28.0
11840,34.0,30.0,18.0
11841,32.0,36.0,28.0
11842,35.0,40.0,32.0
11843,32.0,38.0,30.0
11844,33.0,38.0,29.0
11845,33.0,39.0,29.0
11846,34.0,15.0,30.0
11847,34.0,40.0,29.0
11848,32.0,38.0,28.0
11849,34.0,39.0,30.0
11850,36.0,39.0,29.0
11851,30.0,40.0,25.0
11852,35.0,40.0,30.0
11853,34.0,39.0,29.0
11854,34.0,40.0,30.0
11855,34.0,40.0,30.0
11856,34.0,37.0,28.0
11857,34.0,40.0,28.0
11858,34.0,38.0,28.0
11859,34.0,38.0,28.0
11860,34.0,38.0,29.0
11861,33.0,40.0,28.0
11862,34.0,40.0,28.0
11863,34.0,40.0,27.0
11864,34.0,40.0,28.0
11865,34.0,40.0,28.0
11866,32.0,38.0,28.0
11867,35.0,40.0,25.0
11868,31.0,39.0,29.0
11869,34.0,39.0,29.0
11870,30.0,6.0,14.0
11871,35.0,40.0,30.0
11872,33.0,38.0,29.0
11873,32.0,35.0,27.0
11874,33.0,39.0,30.0
11875,30.0,37.0,27.0
11876,32.0,39.0,28.0
11877,30.0,36.0,29.0
11878,32.0,39.0,30.0
11879,26.0,39.0,28.0
11880,32.0,39.0,29.0
11881,34.0,38.0,30.0
11882,34.0,40.0,29.0
11883,30.0,34.0,25.0
11884,34.0,38.0,29.0
11885,33.0,39.0,28.0
11886,33.0,38.0,29.0
11887,31.0,36.0,31.0
11888,35.0,40.0,33.0
11889,33.0,38.0,29.0
11890,35.0,40.0,30.0
11891,32.0,39.0,30.0
11892,33.0,32.0,29.0
11893,32.0,37.0,29.0
11894,30.0,6.0,27.0
11895,33.0,38.0,29.0
11896,33.0,30.0,29.0
11897,33.0,40.0,30.0
11898,33.0,40.0,30.0
11899,31.0,37.0,28.0
11900,33.0,40.0,29.0
11901,31.0,37.0,28.0
11902,33.0,40.0,29.0
11903,30.0,32.0,26.0
11904,28.0,35.0,29.0
11905,29.0,35.0,27.0
11906,27.0,35.0,26.0
11907,29.0,33.0,26.0
11908,6.0,6.0,19.0
11909,33.0,38.0,29.0
11910,30.0,37.0,28.0
11911,29.0,37.0,28.0
11912,29.0,37.0,29.0
11913,32.0,38.0,29.0
11914,31.0,38.0,28.0
11915,29.0,36.0,29.0
11916,27.0,33.0,25.0
11917,31.0,35.0,30.0
11918,31.0,34.0,27.0
11919,31.0,34.0,28.0
11920,32.0,36.0,28.0
11921,32.0,35.0,28.0
11922,32.0,33.0,26.0
11923,28.0,36.0,28.0
11924,28.0,35.0,27.0
11925,27.0,38.0,28.0
11926,31.0,36.0,28.0
11927,32.0,37.0,28.0
11928,29.0,37.0,27.0
11929,31.0,38.0,30.0
11930,30.0,35.0,27.0
11931,32.0,36.0,27.0
11932,31.0,38.0,29.0
11933,31.0,38.0,28.0
11934,34.0,39.0,30.0
11935,31.0,38.0,29.0
11936,32.0,40.0,30.0
11937,31.0,36.0,30.0
11938,32.0,39.0,29.0
11939,30.0,37.0,27.0
11940,30.0,39.0,30.0
11941,30.0,39.0,28.0
11942,33.0,42.0,31.0
11943,35.0,39.0,29.0
11944,32.0,39.0,28.0
11945,32.0,40.0,28.0
11946,35.0,40.0,28.0
11947,31.0,40.0,28.0
11948,31.0,38.0,29.0
11949,31.0,39.0,28.0
11950,31.0,36.0,28.0
11951,32.0,38.0,30.0
11952,33.0,38.0,29.0
11953,32.0,38.0,29.0
11954,32.0,39.0,28.0
11955,30.0,38.0,28.0
11956,32.0,38.0,29.0
11957,33.0,37.0,27.0
11958,34.0,39.0,31.0
11959,33.0,40.0,30.0
11960,30.0,28.0,27.0
11961,32.0,36.0,29.0
11962,31.0,37.0,27.0
11963,32.0,34.0,30.0
11964,30.0,40.0,29.0
11965,33.0,40.0,29.0
11966,31.0,38.0,29.0
11967,34.0,36.0,29.0
11968,32.0,38.0,29.0
11969,30.0,38.0,28.0
11970,33.0,39.0,28.0
11971,32.0,37.0,28.0
11972,34.0,42.0,30.0
11973,31.0,37.0,29.0
11974,29.0,36.0,29.0
11975,29.0,36.0,29.0
11976,28.0,36.0,29.0
11977,29.0,37.0,28.0
11978,32.0,42.0,29.0
11979,28.0,37.0,30.0
11980,30.0,38.0,28.0
11981,31.0,37.0,33.0
11982,28.0,36.0,27.0
11983,30.0,34.0,29.0
11984,29.0,38.0,28.0
11985,32.0,40.0,27.0
11986,30.0,38.0,28.0
11987,38.0,44.0,29.0
11988,34.0,30.0,28.0
11989,32.0,38.0,28.0
11990,36.0,42.0,30.0
11991,32.0,37.0,27.0
11992,31.0,40.0,28.0
11993,31.0,36.0,27.0
11994,28.0,38.0,30.0
11995,29.0,29.0,17.0
11996,30.0,6.0,29.0
11997,30.0,38.0,28.0
11998,29.0,28.0,16.0
11999,27.0,22.0,28.0
12000,32.0,36.0,26.0
12001,31.0,38.0,26.0
12002,30.0,30.0,29.0
12003,33.0,38.0,31.0
12004,30.0,36.0,28.0
12005,31.0,38.0,28.0
12006,30.0,35.0,28.0
12007,33.0,38.0,24.0
12008,29.0,34.0,28.0
12009,31.0,38.0,28.0
12010,29.0,37.0,28.0
12011,31.0,39.0,28.0
12012,29.0,36.0,29.0
12013,31.0,35.0,29.0
12014,30.0,38.0,28.0
12015,32.0,38.0,29.0
12016,30.0,44.0,30.0
12017,30.0,40.0,30.0
12018,29.0,31.0,30.0
12019,29.0,37.0,30.0
12020,29.0,27.0,32.0
12021,32.0,40.0,30.0
12022,29.0,39.0,30.0
12023,30.0,37.0,29.0
12024,30.0,39.0,29.0
12025,28.0,38.0,29.0
12026,21.0,38.0,28.0
12027,30.0,39.0,30.0
12028,32.0,40.0,28.0
12029,31.0,38.0,31.0
12030,31.0,42.0,30.0
12031,31.0,40.0,28.0
12032,31.0,37.0,28.0
12033,34.0,44.0,31.0
12034,30.0,35.0,30.0
12035,30.0,40.0,27.0
12036,33.0,40.0,29.0
12037,30.0,36.0,28.0
12038,31.0,36.0,28.0
12039,32.0,35.0,26.0
12040,29.0,6.0,24.0
12041,31.0,35.0,25.0
12042,29.0,32.0,26.0
12043,32.0,30.0,29.0
12044,29.0,35.0,26.0
12045,30.0,35.0,28.0
12046,29.0,34.0,28.0
12047,27.0,28.0,25.0
12048,30.0,33.0,25.0
12049,30.0,35.0,26.0
12050,32.0,34.0,27.0
12051,28.0,32.0,26.0
12052,30.0,35.0,28.0
12053,32.0,34.0,27.0
12054,30.0,32.0,27.0
12055,31.0,33.0,29.0
12056,32.0,37.0,28.0
12057,29.0,36.0,28.0
12058,33.0,38.0,28.0
12059,31.0,38.0,29.0
12060,33.0,40.0,29.0
12061,32.0,37.0,28.0
12062,34.0,29.0,28.0
12063,30.0,38.0,30.0
12064,33.0,38.0,29.0
12065,33.0,39.0,30.0
12066,34.0,40.0,26.0
12067,35.0,39.0,26.0
12068,34.0,41.0,29.0
12069,36.0,40.0,30.0
12070,36.0,40.0,30.0
12071,32.0,39.0,28.0
12072,34.0,37.0,29.0
12073,32.0,37.0,28.0
12074,33.0,6.0,27.0
12075,35.0,38.0,30.0
12076,33.0,39.0,29.0
12077,32.0,19.0,30.0
12078,35.0,40.0,32.0
12079,17.0,30.0,29.0
12080,36.0,41.0,29.0
12081,33.0,41.0,29.0
12082,32.0,40.0,28.0
12083,32.0,38.0,29.0
12084,33.0,41.0,26.0
12085,33.0,41.0,26.0
12086,35.0,39.0,28.0
12087,36.0,38.0,28.0
12088,36.0,38.0,28.0
12089,32.0,39.0,33.0
12090,33.0,38.0,31.0
12091,32.0,40.0,30.0
12092,33.0,26.0,29.0
12093,32.0,38.0,29.0
12094,33.0,38.0,29.0
12095,32.0,39.0,29.0
12096,34.0,40.0,30.0
12097,31.0,38.0,29.0
12098,34.0,39.0,30.0
12099,32.0,38.0,29.0
12100,32.0,38.0,29.0
12101,34.0,41.0,28.0
12102,32.0,39.0,29.0
12103,19.0,10.0,27.0
12104,16.0,39.0,29.0
12105,31.0,25.0,25.0
12106,27.0,36.0,26.0
12107,29.0,35.0,27.0
12108,31.0,34.0,25.0
12109,30.0,34.0,26.0
12110,31.0,33.0,26.0
12111,32.0,36.0,27.0
12112,31.0,36.0,26.0
12113,35.0,33.0,29.0
12114,30.0,39.0,28.0
12115,31.0,40.0,30.0
12116,30.0,37.0,26.0
12117,34.0,42.0,26.0
12118,28.0,34.0,25.0
12119,28.0,35.0,27.0
12120,30.0,35.0,27.0
12121,32.0,37.0,28.0
12122,30.0,35.0,30.0
12123,32.0,38.0,27.0
12124,35.0,36.0,27.0
12125,31.0,38.0,27.0
12126,31.0,34.0,26.0
12127,30.0,40.0,27.0
12128,29.0,36.0,27.0
12129,31.0,37.0,28.0
12130,33.0,30.0,27.0
12131,30.0,29.0,28.0
12132,32.0,40.0,27.0
12133,30.0,36.0,27.0
12134,32.0,39.0,28.0
12135,31.0,35.0,26.0
12136,32.0,35.0,27.0
12137,32.0,38.0,27.0
12138,30.0,38.0,27.0
12139,33.0,39.0,27.0
12140,31.0,30.0,29.0
12141,35.0,39.0,28.0
12142,32.0,36.0,26.0
12143,33.0,39.0,27.0
12144,32.0,35.0,25.0
12145,19.0,6.0,24.0
12146,19.0,6.0,24.0
12147,7.0,6.0,14.0
12148,6.0,11.0,15.0
12149,38.0,39.0,26.0
12150,31.0,37.0,26.0
12151,30.0,35.0,25.0
12152,30.0,38.0,27.0
12153,31.0,35.0,26.0
12154,32.0,38.0,26.0
12155,31.0,39.0,26.0
12156,29.0,39.0,26.0
12157,34.0,37.0,27.0
12158,33.0,38.0,27.0
12159,33.0,38.0,27.0
12160,30.0,6.0,13.0
12161,34.0,39.0,24.0
12162,30.0,37.0,26.0
12163,34.0,41.0,28.0
12164,33.0,38.0,27.0
12165,32.0,39.0,28.0
12166,32.0,39.0,26.0
12167,34.0,40.0,28.0
12168,33.0,39.0,28.0
12169,33.0,39.0,28.0
12170,33.0,38.0,28.0
12171,35.0,41.0,29.0
12172,32.0,6.0,13.0
12173,32.0,6.0,13.0
12174,35.0,41.0,27.0
12175,34.0,39.0,26.0
12176,32.0,38.0,27.0
12177,33.0,37.0,28.0
12178,31.0,6.0,27.0
12179,33.0,38.0,26.0
12180,33.0,38.0,27.0
12181,32.0,38.0,26.0
12182,30.0,37.0,28.0
12183,33.0,38.0,27.0
12184,32.0,38.0,27.0
12185,32.0,37.0,29.0
12186,32.0,38.0,27.0
12187,32.0,38.0,29.0
12188,32.0,36.0,29.0
12189,35.0,32.0,29.0
12190,33.0,26.0,30.0
12191,32.0,39.0,27.0
12192,30.0,36.0,28.0
12193,30.0,34.0,26.0
12194,30.0,36.0,26.0
12195,31.0,36.0,27.0
12196,33.0,39.0,27.0
12197,29.0,28.0,13.0
12198,30.0,34.0,26.0
12199,28.0,34.0,26.0
12200,30.0,34.0,28.0
12201,29.0,34.0,26.0
12202,30.0,34.0,26.0
12203,28.0,6.0,26.0
12204,32.0,35.0,26.0
12205,33.0,36.0,27.0
12206,30.0,27.0,26.0
12207,32.0,38.0,29.0
12208,34.0,38.0,27.0
12209,34.0,40.0,28.0
12210,30.0,35.0,26.0
12211,31.0,35.0,25.0
12212,29.0,34.0,24.0
12213,31.0,6.0,21.0
12214,32.0,34.0,27.0
12215,33.0,30.0,14.0
12216,30.0,36.0,26.0
12217,30.0,35.0,25.0
12218,30.0,32.0,23.0
12219,35.0,36.0,25.0
12220,36.0,36.0,25.0
12221,36.0,37.0,25.0
12222,34.0,38.0,25.0
12223,32.0,35.0,25.0
12224,32.0,35.0,25.0
12225,30.0,36.0,25.0
12226,30.0,35.0,24.0
12227,32.0,35.0,24.0
12228,33.0,36.0,25.0
12229,34.0,36.0,27.0
12230,30.0,36.0,24.0
12231,35.0,35.0,25.0
12232,32.0,36.0,25.0
12233,35.0,35.0,27.0
12234,34.0,37.0,24.0
12235,34.0,35.0,26.0
12236,33.0,35.0,25.0
12237,32.0,35.0,25.0
12238,34.0,36.0,25.0
12239,32.0,32.0,26.0
12240,33.0,36.0,24.0
12241,33.0,36.0,25.0
12242,32.0,32.0,25.0
12243,32.0,35.0,25.0
12244,30.0,34.0,24.0
12245,32.0,36.0,25.0
12246,30.0,33.0,25.0
12247,32.0,35.0,25.0
12248,32.0,35.0,25.0
12249,32.0,33.0,25.0
12250,32.0,32.0,24.0
12251,33.0,35.0,23.0
12252,32.0,34.0,25.0
12253,33.0,36.0,25.0
12254,33.0,35.0,25.0
12255,35.0,36.0,26.0
12256,33.0,23.0,25.0
12257,32.0,36.0,25.0
12258,34.0,40.0,25.0
12259,32.0,35.0,25.0
12260,31.0,32.0,25.0
12261,32.0,35.0,23.0
12262,32.0,33.0,24.0
12263,33.0,31.0,25.0
12264,32.0,35.0,23.0
